Alimentos Caja,Lider,Tottus,Unimarc,Acuenta
Aceite de maravilla,3000,3200,2700,3100
Arroz,6000,6150,5590,5890
Avena,2800,2900,3010,3109
Azúcar,7230,6980,7213,7400
Crema de Leche,3560,3720,3560,3540
Espirales,8900,8340,7990,7850
Harina,5670,5430,4980,4632
Jugo en Polvo,20200,21700,22430,23107
Jurel,6290,6400,6302,6107
Leche entera en polvo,3210,3657,4321,4521
Leche entera líquida,6444,6600,6532,6789
Lentejas,7200,7321,7211,7223
Sal,8124,8145,8334,8679
Salsa de tomate,19765,19536,18892,18356
Sucedaneo de cafe,9467,9564,9854,9407
Te para preparar,4800,4756,5102,5210